7zip	23.01+dfsg-11
libjbig0	2.1-6.1ubuntu2
libjbig2dec0	0.20-1build3
libjcat1	0.2.0-2build3
libjemalloc2	5.3.0-2build1
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg8	8c-2ubuntu11
libjq1	1.7.1-3ubuntu0.24.04.1
libjson-c5	0.17-1build1
libjson-glib-1.0-0	1.8.0-2build2
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3	1.20.1-6ubuntu2.6
libkeyutils1	1.6.3-3build1
libklibc	2.0.13-4ubuntu0.1
libkmod2	31+20240202-2ubuntu7.1
libkrb5-3	1.20.1-6ubuntu2.6
libkrb5support0	1.20.1-6ubuntu2.6
libksba8	1.6.6-1build1
liblcms2-2	2.14-2build1
libldap-common	2.6.7+dfsg-1~exp1ubuntu8.2
libldap2	2.6.7+dfsg-1~exp1ubuntu8.2
liblerc4	4.0.0+ds-4ubuntu2
libllvm18	1:18.1.3-1ubuntu1
liblmdb0	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblqr-1-0	0.4.2-2.1build2
libltdl7	2.4.7-7build1
liblua5.4-0	5.4.6-3build2
liblvm2cmd2.03	2.03.16-3ubuntu3.2
liblz4-1	1.9.4-1build1.1
liblzf1	3.6-4
liblzma5	5.6.1+really5.4.5-1ubuntu0.2
liblzo2-2	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64	1:5.45-3build1
libmariadb3	1:10.11.13-0ubuntu0.24.04.1
libmaxminddb0	1.9.1-1build1
libmbim-glib4	1.31.2-0ubuntu3
libmbim-proxy	1.31.2-0ubuntu3
libmbim-utils	1.31.2-0ubuntu3
libmd0	1.1.0-2build1.1
libmemcached11t64	1.1.4-1.1build3
libmemcachedutil2t64	1.1.4-1.1build3
libmm-glib0	1.23.4-0ubuntu2
libmnl0	1.0.5-2build1
libmodule-find-perl	0.16-2
libmount1	2.39.3-9ubuntu6.3
libmpfr6	4.2.1-1build1.1
libmspack0t64	0.11-1.1build1
libmysqlclient21	8.0.44-0ubuntu0.24.04.2
libncurses6	6.4+20240113-1ubuntu2
libncursesw6	6.4+20240113-1ubuntu2
libnet-xwhois-perl	0.90-6
libnetfilter-conntrack3	1.0.9-6build1
libnetpbm11t64	2:11.05.02-1.1build1
libnetplan1	1.1.2-8ubuntu1~24.04.1
libnettle8t64	3.9.1-2.2build1.1
libnewt0.52	0.52.24-2ubuntu2
libnfnetlink0	1.0.2-2build1
libnftables1	1.0.9-1build1
libnftnl11	1.2.6-2build1
libnghttp2-14	1.59.0-1ubuntu0.2
libnl-3-200	3.7.0-0.3build1.1
libnl-genl-3-200	3.7.0-0.3build1.1
libnl-route-3-200	3.7.0-0.3build1.1
libnpth0t64	1.6-3.1build1
libnsl2	1.3.0-3build3
libnspr4	2:4.35-1.1build1
libnss-systemd	255.4-1ubuntu8.11
libnss3	2:3.98-1build1
libntfs-3g89t64	1:2022.10.3-1.2ubuntu3
libnuma1	2.0.18-1build1
libnvme1t64	1.8-3ubuntu1
libonig5	6.9.9-1build1
libopenexr-3-1-30	3.1.5-5.1build3
libopeniscsiusr	2.1.9-3ubuntu5.4
libopenjp2-7	2.5.0-2ubuntu0.4
libp11-kit0	0.25.3-4ubuntu2.1
libpam-cap	1:2.66-5ubuntu2.2
libpam-modules	1.5.3-5ubuntu5.5
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-runtime	1.5.3-5ubuntu5.5
libpam-systemd	255.4-1ubuntu8.11
libpam0g	1.5.3-5ubuntu5.5
libpango-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1	1.1.29build1
libparted2t64	3.6-4build1
libpcap0.8t64	1.10.4-4.1ubuntu3
libpci3	1:3.10.0-2build1
libpcre2-8-0	10.42-4ubuntu2.1
